"game_date","week","home_team","away_team","winner","tie","weekday","time","pts_win","pts_loss","yds_win","turnovers_win","yds_loss","turnovers_loss","home_team_name","home_team_city","away_team_name","away_team_city","total_attendance","home_attendance","away_attendance","weekly_attendance","wins","loss","points_for","points_against","points_differential","margin_of_victory","strength_of_schedule","simple_rating","offensive_ranking","defensive_ranking","playoffs","superbowl_winner","game_year"
2000-09-03,"1","Minnesota Vikings","Chicago Bears","Minnesota Vikings",NA,"Sun",13:00:00,30,27,374,1,425,1,"Vikings","Minnesota","Bears","Chicago",1029262,513322,515940,64104,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,1,0,2000
2000-09-03,"1","Kansas City Chiefs","Indianapolis Colts","Indianapolis Colts",NA,"Sun",13:00:00,27,14,386,2,280,1,"Chiefs","Kansas City","Colts","Indianapolis",1115272,631365,483907,78357,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,0,0,2000
2000-09-03,"1","Washington Redskins","Carolina Panthers","Washington Redskins",NA,"Sun",13:01:00,20,17,396,0,236,1,"Redskins","Washington","Panthers","Carolina",1174332,647424,526908,80257,8,8,281,269,12,0.8,0.2,1,-2.9,3.8,0,0,2000
2000-09-03,"1","Atlanta Falcons","San Francisco 49ers","Atlanta Falcons",NA,"Sun",13:02:00,36,28,359,1,339,1,"Falcons","Atlanta","49ers","San Francisco",964579,422814,541765,54626,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,0,0,2000
2000-09-03,"1","Pittsburgh Steelers","Baltimore Ravens","Baltimore Ravens",NA,"Sun",13:02:00,16,0,336,0,223,1,"Steelers","Pittsburgh","Ravens","Baltimore",987037,440426,546611,55049,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,0,0,2000
2000-09-03,"1","Cleveland Browns","Jacksonville Jaguars","Jacksonville Jaguars",NA,"Sun",13:02:00,27,7,398,0,249,1,"Browns","Cleveland","Jaguars","Jacksonville",1057139,581544,475595,72418,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,0,0,2000
2000-09-03,"1","New England Patriots","Tampa Bay Buccaneers","Tampa Bay Buccaneers",NA,"Sun",13:02:00,21,16,296,1,278,1,"Patriots","New England","Buccaneers","Tampa Bay",1030594,482336,548258,60292,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,0,0,2000
2000-09-03,"1","New Orleans Saints","Detroit Lions","Detroit Lions",NA,"Sun",13:03:00,14,10,187,2,252,3,"Saints","New Orleans","Lions","Detroit",980803,504315,476488,64900,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,1,0,2000
2000-09-03,"1","New York Giants","Arizona Cardinals","New York Giants",NA,"Sun",13:04:00,21,16,395,2,355,4,"Giants","New York","Cardinals","Arizona",1135455,624085,511370,77434,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,1,0,2000
2000-09-03,"1","Dallas Cowboys","Philadelphia Eagles","Philadelphia Eagles",NA,"Sun",16:05:00,41,14,425,3,167,2,"Cowboys","Dallas","Eagles","Philadelphia",1075470,504360,571110,62872,5,11,294,361,-67,-4.2,-0.4,-4.6,-1.5,-3,0,0,2000
2000-09-03,"1","Oakland Raiders","San Diego Chargers","Oakland Raiders",NA,"Sun",16:15:00,9,6,233,0,255,4,"Raiders","Oakland","Chargers","San Diego",998655,462515,536140,56373,12,4,479,299,180,11.3,-1.5,9.7,8,1.8,1,0,2000
2000-09-03,"1","Miami Dolphins","Seattle Seahawks","Miami Dolphins",NA,"Sun",16:16:00,23,0,308,1,143,6,"Dolphins","Miami","Seahawks","Seattle",1118883,589909,528974,72949,11,5,323,226,97,6.1,1,7.1,0,7.1,1,0,2000
